Island_Name,RasterAddress_1km,DepthBin_5m,Depth_m_mn,Longitude_mn,Latitude_mn,Longitude_ras,Latitude_ras,AreaSurveyed_m2_sum,PercentLiveCoralCover_mean,PercentLiveCoralCover_sd,PercentLiveCoralCover_N,PctCoralUnbleached_mean,PctCoralUnbleached_sd,PctCoralUnbleached_N,PctCoralPartialBleached_mean,PctCoralPartialBleached_sd,PctCoralPartialBleached_N,PctCoralFullyBleached_mean,PctCoralFullyBleached_sd,PctCoralFullyBleached_N,PctAffected_mean,PctAffected_sd,PctAffected_N,DHW.MeanMax_Degree_Heating_Weeks_MO03,DHW.MeanMax_Degree_Heating_Weeks_YR10YR01,mean_PAR_MODIS_Daily_MO03,mean_kdPAR_VIIRS_Weekly_MO03,mean_weekly_range_SST_CRW_Daily_ALLB4,Prop_BleachResTaxa,OTP_MHI_OSDS_TotalEffluent,LBSP_AgGolf_runoff_01_sc,LBSP_Urban_runoff_01_sc,WaveEnergy_MN1979.2012,TourRec_DirectHuman_10yrAvgPUD,Depth_m_mn_sc,Correlation_Weight
Hawaii,42524,"(5,10]",9.121278932,-155.9327465,19.85772887,-155.9326005,19.85840897,13316.7,21.25,3.061862178,7,69.38030407,6.845887337,7,15.07741711,4.71487928,7,15.54227882,3.532015133,7,30.62,6.846468676,7,11.31999969,0,48.33153103,0.070817895,2.484339768,0.00290917,734.8121514,-0.042280939,-0.59440791,2274.605922,20.60000038,0.312018509,0.251060702
Hawaii,39245,"(5,10]",9.23787675,-155.8331046,19.98408187,-155.8334465,19.98421862,12345.5,12.5,3.952847075,6,38.29559293,15.55532072,6,26.41835335,14.53139492,6,35.28605372,3.604297489,6,61.705,15.5567397,6,11.03812502,0,48.85796842,0.065641568,2.503412074,5.886675956,2800.591425,0.253118575,-0.226108265,164.2558852,83.20000458,0.345823031,0.102294759
Hawaii,35714,"(5,10]",7.899850007,-155.8881792,20.11946008,-155.8875305,20.11923185,12743.1,37.91666667,11.33762174,6,50.83333333,9.442810316,6,32.5,5.477225575,6,16.66666667,5.400617249,6,49.16666667,9.442810316,6,8.5,0,48.81088946,0.053192223,2.509811329,8.677868826,26.25207573,-1.005664342,-0.631171376,171.2088266,1.400000095,-0.042103222,0.168527471
Hawaii,36892,"(5,10]",9.20428596,-155.8605152,20.07433401,-155.8604885,20.07293585,11824.4,32.5,5,5,37.5,6.373774392,5,33.5,4.183300133,5,29,5.477225575,5,62.5,6.373774392,5,10.67000008,0,48.45251189,0.055998667,2.522830315,6.460844503,8296.604242,-1.003241743,-0.455064248,173.4235325,3.599999905,0.33608425,0.227921167
Hawaii,36185,"(5,10]",9.20270858,-155.8807294,20.10140965,-155.8785165,20.10172311,11037.2,33.5,4.183300133,5,53.4,2.32916294,5,41,2.850438563,5,5.6,1.781852968,5,46.6,2.32916294,5,8.5,0,48.81088946,0.054001111,2.509811329,8.994191336,0,-1.005668654,-0.631515618,171.8117678,1.700000048,0.33562693,0.62370823
Hawaii,36420,"(5,10]",9.144500245,-155.8770398,20.09238444,-155.8785165,20.09508241,8372.1,23.125,3.145764348,4,50,4.564354646,4,40.625,2.393567769,4,9.375,2.393567769,4,50,4.564354646,4,10.67000008,0,48.81088946,0.055998667,2.522830315,2.992942643,0,-1.005541807,-0.622651919,174.5000031,1.399999976,0.318750928,0.284673446
Hawaii,39713,"(10,15]",10.0584,-155.8488447,19.96603144,-155.8514745,19.97000903,60,NA,NA,4,37.52729885,15.63608142,4,25.2742474,8.159655289,4,37.19845375,7.961834162,4,62.4725,15.63573978,4,11.03812502,0,51.32996907,0.066862642,2.503412074,0.801702915,18645.63283,-0.222450367,0.312068009,165.3000028,57.75008331,0.583712529,0.083101317
Hawaii,35243,"(5,10]",9.758097323,-155.8942064,20.13751051,-155.8965445,20.13703642,7780.7,25,7.359800722,4,57.625,7.051890999,4,36.25,3.227486122,4,6.125,4.25,4,42.375,7.051890999,4,8.5,0,48.51433784,0.050994445,2.509811329,4.289357764,68.90472339,-1.005669903,-0.631615287,171.2676501,1.399999976,0.496647533,0.184255622
Hawaii,40181,"(5,10]",7.487041101,-155.8681533,19.94798101,-155.8695025,19.95084594,8087.9,34.16666667,11.27312438,4,42.46416088,18.20881872,4,34.06409452,15.39227243,4,23.47174461,6.129198841,4,57.535,18.20727602,4,11.38000011,0,48.92730374,0.065427725,2.492264298,0.403035651,2018.065519,0.219654214,-0.263427048,160.1941204,105.9000015,-0.161786489,0.071364358
Hawaii,41352,"(5,10]",8.875287121,-155.9065496,19.90285494,-155.9055585,19.90156483,8281.8,34.375,4.732423622,4,58.75,1.443375673,4,15.625,1.25,4,25.625,1.25,4,41.25,1.443375673,4,11.31999969,0,47.62348152,0.067407353,2.498490711,0.109956208,77.9714776,-0.347377332,-0.522067645,1568.691205,5.300000191,0.240699545,0.900216478
